task_id,skill_id,attempt,seed,controller_exit,sim_duration,steps,verifier_fact,verifier_value,hidden_qa,verified_success,wrong_object,timeout,nan_blocked,rejected,interrupted,policy_input_keys
T_A,a:OPEN:container:v1,0,8000,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:OPEN:container:v1,1,8001,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:OPEN:container:v1,2,8002,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:OPEN:container:v1,3,8003,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:OPEN:container:v1,4,8004,NORMAL_TERMINATION,7.5999999999995405,152,p:Open:container,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:target:v1,0,8010,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:target:v1,1,8011,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:target:v1,2,8012,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:target:v1,3,8013,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:target:v1,4,8014,NORMAL_TERMINATION,3.849999999999687,77,p:Held:target,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:second_object:v1,0,8020,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:second_object,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:second_object:v1,1,8021,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:second_object,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
T_A,a:PICK:second_object:v1,2,8022,NORMAL_TERMINATION,4.1999999999996485,84,p:Held:second_object,TRUE,True,True,False,False,False,False,False,"['depth', 'eef_pos', 'eef_quat', 'gripper_qpos', 'proprio', 'rgb', 'sim_time']"
