content_group_id,split,task_id
d0369abdc1e18f99,train,transport_dual_order
f17b5015f86d31cb,train,transport_dual_order
48192627e0ecdae9,test,transport_recovery
4cfce12dac6f1852,train,transport_recovery
837420c3bbd731ac,test,transport_recovery
2f640d3128f9a261,train,transport_recovery
ae210ba3a43c0910,train,transport_recovery
66e9524f274ef99f,train,transport_recovery
ea43d5392b366608,train,transport_recovery
1c73f1887e153691,train,transport_recovery
5693f89cc383bd64,test,transport_recovery
1adab7de79a087b3,test,transport_recovery
f9f56194a3c4cb04,train,transport_recovery
c00409929997554a,train,transport_recovery
7138dc8d62bfd4ec,train,transport_recovery
58fa7ac9b1b05129,train,transport_recovery
7d8b707649897a38,train,transport_recovery
1a896b3ca64ea745,test,transport_recovery
36bf104029b650b0,test,transport_recovery
7c8b4b934da89a5d,train,transport_recovery
2ee86b3c50400e39,train,transport_recovery
66b4fa500b5d61be,train,transport_recovery
f8ebbd43afe289b7,val,transport_recovery
bcf4810032a84920,train,transport_recovery
b43114af5e06d305,train,transport_recovery
36e1a3f0f950e323,val,transport_recovery
fefec4da5dd66a39,val,transport_recovery
2d5ca81a4c899672,test,transport_recovery
ca2d9ca9edee215e,train,transport_recovery
075037a794e82180,train,transport_recovery
38b779de89988d47,train,transport_recovery
1d64ccb0bdfe70da,train,transport_recovery
5d4aaff760f2180c,test,transport_recovery
824e13b72eb846b9,test,transport_recovery
4e516f7adbc1caf4,train,transport_recovery
3afa7da94745e8f1,train,transport_recovery
f1c8046f1b6a2c1b,train,transport_recovery
e791ac4366f97411,train,transport_recovery
bbb1ed0f57d5ec0e,train,transport_recovery
aaae8989a1dd22e7,train,transport_recovery
a2cd4b3d58f24944,train,transport_recovery
525f9856781928c8,test,transport_recovery
68f32b646050f4d7,val,transport_recovery
5f82d437c75fed69,test,transport_recovery
c3f1e2e32d43989b,test,transport_recovery
03a5fc551f7a2c97,train,transport_recovery
fb7ffa8d97e3523c,train,transport_recovery
17cea51db8405b35,test,transport_recovery
624940d72e6064eb,train,transport_recovery
fb106d73c0342444,val,transport_recovery
3e7017a7401b7846,train,transport_recovery
44a27458c265bba1,val,transport_recovery
fbee41a141635376,train,transport_recovery
0922eee6e0d2de3f,val,transport_recovery
