step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249642,0.050476,0.979762,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150961,0.048924,0.980245,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.008402,0.011037,0.970211,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209794,0.111219,0.990417,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409663,0.207991,1.008529,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.609224,0.311226,1.028223,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809848,0.110229,0.770659,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.810425,0.110133,0.768406,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.811848,0.108852,0.770863,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.808844,0.109614,0.771152,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809625,0.110475,0.7717,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.81136,0.11087,0.76867,0.8,0.1,0.65,natural_success,scripted_oracle
