step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.24822,0.049725,0.980476,0.0,0.0,0.82,terminal_failure,scripted_oracle
10,0.151627,0.048781,0.978792,0.0,0.0,0.82,terminal_failure,scripted_oracle
20,0.011017,0.010465,0.968801,0.0,0.0,0.82,terminal_failure,scripted_oracle
30,0.210399,0.109243,0.988957,0.2,0.1,0.84,terminal_failure,scripted_oracle
40,0.408967,0.209555,1.011714,0.4,0.2,0.86,terminal_failure,scripted_oracle
50,0.609619,0.31168,1.027545,0.6,0.3,0.88,terminal_failure,scripted_oracle
60,0.810428,0.109915,0.77055,0.8,0.1,0.65,terminal_failure,scripted_oracle
70,0.810822,0.109628,0.768567,0.8,0.1,0.65,terminal_failure,scripted_oracle
80,0.808525,0.110177,0.768582,0.8,0.1,0.65,terminal_failure,scripted_oracle
90,0.810699,0.109983,0.769418,0.8,0.1,0.65,terminal_failure,scripted_oracle
100,0.809655,0.109942,0.770068,0.8,0.1,0.65,terminal_failure,scripted_oracle
110,0.810371,0.107585,0.770332,0.8,0.1,0.65,terminal_failure,scripted_oracle
