step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250582,0.049801,0.979056,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150842,0.049805,0.980286,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.011401,0.007924,0.971437,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210605,0.109388,0.990149,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.408071,0.208467,1.009553,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.610861,0.310637,1.029808,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809428,0.108847,0.768943,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.808088,0.112289,0.771258,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.810194,0.111377,0.769817,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.809566,0.108548,0.769498,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809636,0.111193,0.769109,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.810834,0.111013,0.769876,0.8,0.1,0.65,natural_success,scripted_oracle
