invocation_id,role,source_path,source_sha256,item,recorded_value,code_requested_value,effective_value,effective_value_evidence,source_commit,run_code_hash_verified,mismatch_type,status,missing_evidence,notes
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,source_commit,NOT_RECORDED,dc51582b99759a6e5a7427e1965a5110c5944ed4,NOT_VERIFIED,explicit saved metadata only,NOT_RECORDED,false,historical_version_not_reconstructed,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,model_or_xml_sha256,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,NOT_RECORDED,false,missing,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,numpy_mujoco_versions,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,NOT_RECORDED,false,missing,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,seed_family_config,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,NOT_RECORDED,false,missing,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,renderer_callbacks,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,NOT_RECORDED,false,missing,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_ORIGINAL_COLLECTION,original_collection,NOT_RECORDED,NOT_RECORDED,sampling_point,NOT_RECORDED,NOT_REQUESTED,NOT_VERIFIED,explicit saved metadata only,NOT_RECORDED,false,mapping_not_proven,GAP,original capture manifest not retained in R11 lightweight root,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,source_commit,dc51582b99759a6e5a7427e1965a5110c5944ed4,dc51582b99759a6e5a7427e1965a5110c5944ed4,NOT_VERIFIED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,historical_version_not_reconstructed,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,model_or_xml_sha256,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,numpy_mujoco_versions,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,seed_family_config,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,renderer_callbacks,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_FIVE_INVOCATIONS_AGGREGATE,historical_probe_aggregate,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physical_execution_accounting.json,28ea59065bb3efd90c65b0490f062af22cd1618b88e0d49d5b14cbcaac960c0d,sampling_point,NOT_RECORDED,NOT_REQUESTED,NOT_VERIFIED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,mapping_not_proven,GAP,aggregate only; per-invocation source/config absent,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,source_commit,dc51582b99759a6e5a7427e1965a5110c5944ed4,dc51582b99759a6e5a7427e1965a5110c5944ed4,NOT_VERIFIED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,historical_version_not_reconstructed,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,model_or_xml_sha256,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,numpy_mujoco_versions,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,seed_family_config,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,renderer_callbacks,NOT_RECORDED,NOT_REQUESTED,NOT_RECORDED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,missing,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
R11_LAST_RETAINED_LEDGER,historical_probe_last_batch,/home/__compress_data/xushijie/graph_l2ra_r2_r12_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,sampling_point,instrumented_after_mj_step,NOT_REQUESTED,NOT_VERIFIED,explicit saved metadata only,dc51582b99759a6e5a7427e1965a5110c5944ed4,false,mapping_not_proven,GAP,last batch ledger only,Current environment metadata is not substituted for historical metadata.
