step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251596,0.050702,0.978876,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.15111,0.046796,0.97961,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.009066,0.009856,0.970706,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210211,0.110501,0.990575,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.410364,0.20916,1.008333,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.610703,0.31072,1.030351,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.810314,0.109752,0.771172,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809345,0.110399,0.769299,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.80992,0.111495,0.769331,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.810071,0.110355,0.76969,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809235,0.112123,0.770595,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.810547,0.109989,0.770894,0.8,0.1,0.65,natural_success,scripted_oracle
