step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.251876,0.050544,0.980719,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.151515,0.051376,0.980423,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010183,0.012024,0.970255,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210614,0.109846,0.987748,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.410923,0.208378,1.009768,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.611258,0.310788,1.027787,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809679,0.10964,0.768348,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809474,0.111183,0.769865,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.808144,0.109715,0.771211,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.808543,0.109975,0.770746,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.809221,0.109287,0.770688,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.809878,0.109689,0.768777,0.8,0.1,0.65,natural_success,scripted_oracle
