step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.248867,0.049765,0.979875,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.14949,0.049001,0.980853,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010117,0.009737,0.970014,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.209361,0.108273,0.99147,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.409062,0.208734,1.010394,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.609183,0.311447,1.029163,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.810485,0.109896,0.76905,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.809334,0.107873,0.770613,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.810014,0.109392,0.770177,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.810684,0.111369,0.77058,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.80999,0.111444,0.769682,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.810318,0.110039,0.771132,0.8,0.1,0.65,natural_success,scripted_oracle
