step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.250696,0.05015,0.9788,0.0,0.0,0.82,natural_success,scripted_oracle
10,0.150571,0.049919,0.979502,0.0,0.0,0.82,natural_success,scripted_oracle
20,0.010784,0.010804,0.969629,0.0,0.0,0.82,natural_success,scripted_oracle
30,0.210322,0.109399,0.988269,0.2,0.1,0.84,natural_success,scripted_oracle
40,0.41,0.211932,1.01018,0.4,0.2,0.86,natural_success,scripted_oracle
50,0.60944,0.310851,1.030442,0.6,0.3,0.88,natural_success,scripted_oracle
60,0.809034,0.110276,0.770736,0.8,0.1,0.65,natural_success,scripted_oracle
70,0.808625,0.109995,0.769241,0.8,0.1,0.65,natural_success,scripted_oracle
80,0.810122,0.109426,0.769307,0.8,0.1,0.65,natural_success,scripted_oracle
90,0.810354,0.112089,0.770488,0.8,0.1,0.65,natural_success,scripted_oracle
100,0.808826,0.11049,0.769145,0.8,0.1,0.65,natural_success,scripted_oracle
110,0.809782,0.111298,0.770055,0.8,0.1,0.65,natural_success,scripted_oracle
