step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.249002,0.049668,0.98032,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
10,0.150649,0.050399,0.980843,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
20,0.007984,0.010715,0.971734,0.0,0.0,0.82,drop_and_regrasp,scripted_oracle
30,0.209744,0.111686,0.989783,0.2,0.1,0.84,drop_and_regrasp,scripted_oracle
40,0.409282,0.209572,1.010463,0.4,0.2,0.86,drop_and_regrasp,scripted_oracle
50,0.610767,0.309831,1.030457,0.6,0.3,0.88,drop_and_regrasp,scripted_oracle
60,0.298931,0.199199,0.896932,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
70,0.808347,0.111086,0.670918,0.8,0.1,0.55,drop_and_regrasp,scripted_oracle
80,0.609543,0.109534,0.718353,0.6,0.1,0.6,drop_and_regrasp,scripted_oracle
90,0.810364,0.110537,0.76883,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
100,0.807033,0.10897,0.77071,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
110,0.808868,0.109584,0.771276,0.8,0.1,0.65,drop_and_regrasp,scripted_oracle
